TestID,URL,NameSelector,EmailSelector,CommentSelector,SubmitSelector,ResultSelector,Name,Email,Comment,ExpectedResult
TC-001-001,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AA,name@example.com,This is a valid comment used for BVA testing.,Warning: Comment Name must be between 3 and 25 characters!
TC-001-002,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAA,name@example.com,This is a valid comment used for BVA testing.,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-003,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAA,name@example.com,This is a valid comment used for BVA testing.,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-004,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAAAAAAAAAAAAAAAA,name@example.com,This is a valid comment used for BVA testing.,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-005,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAAAAAAAAAAAAAAAAA,name@example.com,This is a valid comment used for BVA testing.,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-006,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,AAAAAAAAAAAAAAAAAAAAAAAAAA,name@example.com,This is a valid comment used for BVA testing.,Warning: Comment Name must be between 3 and 25 characters!
TC-001-007,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAA,Warning: Comment Text must be between 25 and 1000 characters!
TC-001-008,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-009,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
TC-001-010,https://ecommerce-playground.lambdatest.io/index.php?route=extension/maza/blog/article&article_id=37,#input-name,#input-email,#input-comment,#button-comment,body,ValidName,name@example.com,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Thank you for your comment. It has been submitted to the webmaster for approval.
